video_id,utterance_id,phenomenon,good_sentence,bad_sentence,hypothesis,good_nll,bad_nll,nll_diff,bleurt
Rachel_2012-02-09_sc58_12,0,negation,I'm not happy.,I'm happy.,Thank you for watching.,1.7093339815735817,1.7212693146006628,0.011935333027081052,35.67765653133392
Rachel_2012-02-09_sc58_12,1,negation,I'm not tired.,I'm tired.,Thank you for watching.,1.793093844751517,1.9777901016853072,0.18469625693379021,29.588979482650757
Rachel_2012-02-09_sc58_12,2,negation,I'm not skilled.,I'm skilled.,I don't love you.,1.6401269199217068,2.003167988016055,0.36304106809434833,28.835761547088623
Cory_2013-6-27_sc110_14,3,negation,It's not raining.,It's raining.,Thank you for watching me.,1.9220545716169808,2.028198874688574,0.1061443030715934,30.212897062301636
Rachel_2012-01-27_sc51_11,4,negation,It's not raining.,It's raining.,That's what I want to do.,1.8597583865953817,1.980068705443825,0.12031031884844334,31.525099277496338
Rachel_2012-02-09_sc58_12,5,negation,John didn't see me.,John saw me.,He doesn't know him.,2.0288562923669815,3.102124813084419,1.0732685207174373,32.18604028224945
Rachel_2011-12-01_sc43_12,6,negation,Age isn't important.,Age is important.,I love God.,2.212171692046381,2.015704685408208,-0.1964670066381733,27.543509006500244
Rachel_2012-02-09_sc58_12,7,negation,He/She isn't guilty.,He/She is guilty.,Thank you for your support.,2.3287209808116867,2.430701878335741,0.10198089752405437,26.528814435005188
Cory_2013-6-27_sc115_17,8,negation,I haven't paid rent.,I have paid rent.,This is my sign name.,1.670413424571355,1.691788321153985,0.02137489658262992,23.886579275131226
Rachel_2012-02-09_sc58_12,9,negation,That dog isn't mine.,That dog is mine.,Hello everyone.,2.025820569800479,2.0311080002122455,0.00528743041176627,30.56311309337616
Cory_2013-6-27_sc107_19,10,negation,That job isn't hard.,That job is hard.,I believe in you.,2.0818648904207206,2.0295047780705824,-0.052360112350138266,26.867040991783142
Jonathan_2012-11-27_sc98_14,11,negation,Did you not pass out?,Did you pass out?,This is the first time that we were able to communicate with them.,2.6688791757280175,2.7550102385381856,0.08613106281016814,22.83097505569458
Rachel_2012-02-09_sc58_12,12,negation,The box is not small.,The box is small.,I'm not going to tell you what to do.,1.681490121917291,1.928482426951329,0.2469923050340379,31.31486177444458
Jonathan_2012-11-27_sc98_14,13,negation,I haven't yet paid rent.,I have already paid rent.,It's really complicated.,1.6307234093546867,1.5359972699616964,-0.09472613939299035,31.001365184783936
Cory_2013-6-27_sc110_14,14,negation,Mary isn't a vegetarian.,Mary is a vegetarian.,Thank you for an amazing time!,2.2409025029838086,2.046382757073099,-0.19451974591070975,17.420868575572968
Cory_2013-6-27_sc115_17,15,negation,Mother isn't sick today.,Mother is sick today.,This is my sign name.,2.2151770257949828,2.0793860219419003,-0.13579100385308251,17.884406447410583
Rachel_2012-02-09_sc58_12,16,negation,The boy never goes home.,The boy goes home.,You know...,1.7016809229552745,1.8300906627586013,0.12840973980332682,14.37225490808487
Rachel_2012-02-09_sc58_12,17,negation,I didn't wash my clothes.,I did wash my clothes.,And...,1.6811450275664146,1.8867831810013107,0.2056381534348961,15.724751353263855
Cory_2013-6-27_sc107_19,18,negation,Jack lied. He's not sick.,Jack lied. He's sick.,Beautiful father.,2.386371935502841,2.6247395188971,0.2383675833942589,13.719606399536133
Jonathan_2012-11-27_sc97_19,19,negation,Mother is not sick today.,Mother is sick today.,That's what I want to say.,2.024700902402401,2.1550168178298255,0.1303159154274245,24.84932839870453
